company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
Hindalco Industries,FY2022-23,2023-07-28,0.535133,-0.002171317097225561,0.023311418500764902,0.012025212754204428,0.01833198652947552,0.05561751361877965,0.042639403860924824,27.526271,0.268178,Metals & Mining
Hindalco Industries,FY2023-24,2024-07-29,0.064163,-0.006701258604594575,-0.005454234357255478,-0.019148924462670983,-0.0494896980247735,-0.06633587805315183,0.009725366851962958,27.849437,0.243011,Metals & Mining
Hindustan Unilever,FY2022-23,2023-07-25,1.835069,-0.0057621456003525305,-0.01035398981759326,-0.002388174959409726,-0.01753310597797975,-0.05546911761017918,-0.04419886955958431,29.425407,0.016679,FMCG
Hindustan Unilever,FY2023-24,2024-06-27,1.792778,0.006115252115500607,0.015965186668410132,0.010737760100190688,0.018083969676210395,0.013515652855112623,0.0997936450888067,29.30255,0.018905,FMCG
ICICI Bank,FY2022-23,2023-08-02,-0.945122,0.002887776115875853,-0.018173278970192146,-0.014657911181425256,-0.020515564281144233,-0.030288806424974307,-0.04297700113924567,29.44351,0.093699,Banking
ICICI Bank,FY2023-24,2024-08-05,-1.577847,0.004119027724615764,-0.0003873514767729321,0.0026128199561508405,-0.008988395936273782,-0.016980622135360633,0.015292248560678958,29.669318,0.085023,Banking
ICICI Lombard,FY2023-24,2024-06-03,0.351752,-0.009562203899800593,-0.01378645692377966,-0.007384858555003135,0.03414596711439802,-0.007814972025865157,0.026208857418575305,27.444605,0.000553,Insurance
IDFC First Bank,FY2022-23,2023-08-10,-1.103183,-0.00343404684415387,0.008892518406395282,0.00823631033858433,0.01700486330915,0.003806551883709375,-0.02597663395504698,26.621319,0.238501,Banking
IDFC First Bank,FY2023-24,2024-08-08,-1.931774,0.0018527873053752883,-0.0038998378148377257,0.0041721340780536366,-0.008033921269071707,-0.01320427243037565,0.015301453200780264,27.001923,0.148326,Banking
ITC,FY2022-23,2023-07-11,1.250504,0.010805581837397101,0.0011132426674047334,0.007708769550375968,-0.006110326318809272,-0.008891278920994923,-0.07647948054541596,29.154769,0.003567,FMCG
ITC,FY2023-24,2024-06-28,0.899384,-0.001316079500308944,0.006848054520188844,0.004788745489255399,0.01226889725385638,0.016050838966221476,0.15632938261825993,29.269922,0.003308,FMCG
Indian Oil Corporation,FY2022-23,2023-08-04,2.051839,-0.018149595641258988,-0.016597097430456724,-0.015457493386413505,-0.0076183708811572385,-0.058126732894241806,-0.11857558275037039,27.701297,0.337267,Oil & Gas
Indian Oil Corporation,FY2023-24,2024-07-18,2.107446,-0.007373238132017732,-0.0002906928477732131,-0.006480450465814831,0.055397490369440694,0.03956565195674787,-0.03103762359266914,28.468346,0.274954,Oil & Gas
Indus Towers,FY2022-23,2023-08-10,2.251835,-0.006984365134887315,0.007810030028808999,0.013847893814789208,-0.047461393409979305,-0.040822714718227744,0.10305057617242536,26.677234,0.411937,Telecom
Indus Towers,FY2023-24,2024-08-23,3.616042,-0.001141681874315264,0.0009771624710979542,-0.015730520654174324,0.022796868877746814,0.034424245851658805,-0.18124763949812653,27.38812,0.367494,Telecom
IndusInd Bank,FY2022-23,2023-08-02,-0.386255,0.0052064802883268375,-0.017160825480773294,-0.0006348822722699763,0.009266364735689706,-0.022069652388798586,-0.04894245450170748,27.443024,0.10705,Banking
IndusInd Bank,FY2023-24,2024-08-05,-1.517034,0.02917071506349124,0.03329786937206884,0.02985298961930588,-0.013057323192104803,-0.004567320327180869,0.03032324359985828,27.820592,0.092432,Banking
Infosys,FY2022-23,2023-07-12,-1.066305,-0.009544291669466565,0.026341142932023266,0.016799937851639964,0.07892313143408984,0.08197611204979012,0.04619629605935192,29.407084,0.065961,IT
Infosys,FY2023-24,2024-06-06,-1.817936,0.01790688920706393,0.04227476467454828,0.04483234647605084,0.00893346180815306,0.0017129918152879856,0.07294748607832821,29.455869,0.060643,IT
JSW Steel,FY2022-23,2023-07-07,2.213208,-0.00033057365648252526,0.02561392020458419,0.028224608828405513,0.004980313308544403,-0.010927083534070663,-0.02279474075096829,28.134482,0.50505,Metals & Mining
JSW Steel,FY2023-24,2024-07-04,2.141192,-0.009159500964479598,0.0018079451494006256,-0.002240691506775935,-0.03134829488632308,-0.017064872731689266,-0.04652467578446842,28.335496,0.462795,Metals & Mining
Jindal Steel,FY2022-23,2023-09-11,0.41546,0.004804973636609505,-0.035906020193082526,-0.017445567479733783,-0.013589301103508606,-0.06390758153154853,-0.07822363445605515,27.04614,0.187874,Metals & Mining
Jindal Steel,FY2023-24,2024-08-08,2.700875,-0.019845462859888124,-0.04082010157164192,-0.03715106021253141,-0.026358140316320902,-0.02720782886353039,-0.03439862179509987,27.469926,0.209263,Metals & Mining
Kotak Mahindra Bank,FY2022-23,2023-08-11,-0.554494,-0.0008631462375681635,-0.010467191722519547,0.0027125988061548964,-0.01611907092636974,-0.03505534680143724,-0.04263975831613957,28.867191,0.084351,Banking
