company,ticker,year,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year
Nestle India,NESTLEIND.NS,FY2023-24,2947621322752.0,28.71202,4445599744,,0.08621,mcap=current_proxy;bs=current_proxy+debt_current_proxy
ONGC,ONGC.NS,FY2022-23,1900251212458.27,28.273007,1767440370000.0,6427737320000.0,0.274971,mcap=2023-03-31;bs=2023-03-31
ONGC,ONGC.NS,FY2023-24,3372143687600.44,28.84657,1911952270000.0,7419979230000.0,0.257676,mcap=2024-03-28;bs=2024-03-31
Oracle Financial,OFSS.NS,FY2022-23,281978792961.25,26.365098,694020000.0,92755400000.0,0.007482,mcap=2023-03-31;bs=2023-03-31
Oracle Financial,OFSS.NS,FY2023-24,760465743053.48,27.357197,430000000.0,99357000000.0,0.004328,mcap=2024-03-28;bs=2024-03-31
PNB,PNB.NS,FY2022-23,513113308201.32,26.963763,701486200000.0,14936489400000.0,0.046965,mcap=2023-03-31;bs=2023-03-31
PNB,PNB.NS,FY2023-24,1369770352216.68,27.945664,725856200000.0,15986359600000.0,0.045405,mcap=2024-03-28;bs=2024-03-31
Paytm,PAYTM.NS,FY2022-23,403596328848.93,26.723681,2233000000.0,179658000000.0,0.012429,mcap=2023-03-31;bs=2023-03-31
Paytm,PAYTM.NS,FY2023-24,255849351820.19,26.267855,1766000000.0,186928000000.0,0.009447,mcap=2024-03-28;bs=2024-03-31
Persistent Systems,PERSISTENT.NS,FY2022-23,344997806244.0,26.566804,6575540000.0,66730800000.0,0.098538,mcap=2023-03-31;bs=2023-03-31
Persistent Systems,PERSISTENT.NS,FY2023-24,606960380700.01,27.131729,4511290000.0,74176340000.0,0.060818,mcap=2024-03-28;bs=2024-03-31
Pidilite,PIDILITIND.NS,FY2022-23,1196063406720.0,27.810057,3906100000.0,105250200000.0,0.037113,mcap=2023-03-31;bs=2023-03-31
Pidilite,PIDILITIND.NS,FY2023-24,1533304552463.56,28.058446,3824700000.0,121039500000.0,0.031599,mcap=2024-03-28;bs=2024-03-31
PolicyBazaar,POLICYBZR.NS,FY2022-23,285185235915.58,26.376405,2265900000.0,62540300000.0,0.036231,mcap=2023-03-31;bs=2023-03-31
PolicyBazaar,POLICYBZR.NS,FY2023-24,504296060095.5,26.946429,2533300000.0,67285100000.0,0.03765,mcap=2024-03-28;bs=2024-03-31
Power Grid,POWERGRID.NS,FY2022-23,1574359654525.57,28.08487,1285838100000.0,2522730600000.0,0.509701,mcap=2023-03-31;bs=2023-03-31
Power Grid,POWERGRID.NS,FY2023-24,2575337140714.72,28.577002,1270037100000.0,2508905200000.0,0.506212,mcap=2024-03-28;bs=2024-03-31
Reliance Industries,RELIANCE.NS,FY2022-23,14557646070063.71,30.309137,3343920000000.0,16074310000000.0,0.208029,mcap=2023-03-31;bs=2023-03-31
Reliance Industries,RELIANCE.NS,FY2023-24,20106845826527.38,30.632081,3461420000000.0,17559860000000.0,0.197121,mcap=2024-03-28;bs=2024-03-31
SAIL,SAIL.NS,FY2022-23,341594428794.94,26.55689,307734300000.0,1304810900000.0,0.235846,mcap=2023-03-31;bs=2023-03-31
SAIL,SAIL.NS,FY2023-24,554523020048.25,27.041374,363226500000.0,1407085800000.0,0.258141,mcap=2024-03-28;bs=2024-03-31
SBI,SBIN.NS,FY2022-23,4674265500432.5,29.173093,5220926306000.0,59544183170000.0,0.087682,mcap=2023-03-31;bs=2023-03-31
SBI,SBIN.NS,FY2023-24,6714431570658.87,29.53528,5565032351000.0,67337787997000.0,0.082644,mcap=2024-03-28;bs=2024-03-31
SBI Life,SBILIFE.NS,FY2022-23,1102085194698.99,27.728225,,3145991696000.0,0.0,mcap=2023-03-31;bs=2023-03-31+debt_current_proxy
SBI Life,SBILIFE.NS,FY2023-24,1502448563866.25,28.038117,,3982772500000.0,0.0,mcap=2024-03-28;bs=2024-03-31+debt_current_proxy
Shree Cement,SHREECEM.NS,FY2022-23,944844715650.52,27.574286,27246700000.0,263339400000.0,0.103466,mcap=2023-03-31;bs=2023-03-31
Shree Cement,SHREECEM.NS,FY2023-24,926656424677.76,27.554849,16555500000.0,279534700000.0,0.059225,mcap=2024-03-28;bs=2024-03-31
Shriram Finance,SHRIRAMFIN.NS,FY2022-23,471553720535.69,26.879299,1286886100000.0,2105726900000.0,0.611136,mcap=2023-03-31;bs=2023-03-31
Shriram Finance,SHRIRAMFIN.NS,FY2023-24,886795856982.4,27.510881,1517661000000.0,2482663100000.0,0.611304,mcap=2024-03-28;bs=2024-03-31
Siemens India,SIEMENS.NS,FY2022-23,579214683960.69,27.084939,1821000000.0,201090000000.0,0.009056,mcap=2022-09-30;bs=2022-09-30
Siemens India,SIEMENS.NS,FY2023-24,767708239414.95,27.366676,1752000000.0,217696000000.0,0.008048,mcap=2023-09-29;bs=2023-09-30
Sun Pharma,SUNPHARMA.NS,FY2022-23,2358786150429.49,28.489168,68858700000.0,807435900000.0,0.085281,mcap=2023-03-31;bs=2023-03-31
Sun Pharma,SUNPHARMA.NS,FY2023-24,3888242402788.53,28.988978,32736700000.0,854996500000.0,0.038289,mcap=2024-03-28;bs=2024-03-31
TCS,TCS.NS,FY2022-23,11730552439371.46,30.093218,76880000000.0,1436510000000.0,0.053519,mcap=2023-03-31;bs=2023-03-31
TCS,TCS.NS,FY2023-24,14024792822687.83,30.271848,80210000000.0,1464490000000.0,0.05477,mcap=2024-03-28;bs=2024-03-31
TVS Motor,TVSMOTOR.NS,FY2022-23,511763816003.19,26.961129,223755800000.0,352329100000.0,0.635076,mcap=2023-03-31;bs=2023-03-31
TVS Motor,TVSMOTOR.NS,FY2023-24,1022316252656.13,27.653092,260057000000.0,422204600000.0,0.61595,mcap=2024-03-28;bs=2024-03-31
